tweet,selected_by_day,date,link,events,selected,journalist,keywords
La vidéo était aussi sur un 3e site «gore». Paoliello s'en est rendue compte en raison d'un tatouage numérique sur vidéo #Magnotta,,10/16/2014,https://twitter.com/#!/MessierSRC/status/522786755985297408,video,,@MessierSRC,vidéo était gore Paoliello s ' est rendue compte d'un numérique vidéo #Magnotta
"Finalement, adresse IP de Capt Fly Scratch le plaçait en Australie, selon Paoliello. #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522785993267888128,Paris,,@MessierSRC,adresse IP plaçait Australie Paoliello #Magnotta
"Hébergeur a fourni lien vers la vidéo, adresses IP de connexion au compte de Capt Fly Scratch. Pas d'IP du téléchargement. #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522785240910409728,video,,@MessierSRC,Hébergeur a fourni lien vidéo adresses IP connexion compte Capt Fly Scratch téléchargement #Magnotta
"Paoliello lui a alors demandé adresse IP, l'heure du téléchargement, etc. #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522784299981221888,video,,@MessierSRC,Paoliello a demandé adresse IP l'heure téléchargement #Magnotta
"30 mai 2012: le webmestre d'un site avait répondu, demandait plus d'infos, était prêt à collaborer, dit Paoliello. #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522784077729243136,video,,@MessierSRC,30 mai webmestre d'un site avait répondu demandait d'infos était prêt collaborer dit Paoliello #Magnotta
"Des vérifications ont ensuite été faites sur des réseaux sociaux, dont Facebook, avec nom de Magnotta, dit Paoliello #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522783628657704960,video,,@MessierSRC,vérifications ont été faites sociaux Facebook nom Magnotta dit Paoliello #Magnotta
"La vidéo avait été téléchargée le 27 mai 2012, dit Paoliello. Heure n'était pas indiquée. #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522782788811255808,video,,@MessierSRC,vidéo avait été téléchargée 27 mai dit Paoliello Heure n'était indiquée #Magnotta
Paoliello a contacté des fournisseurs en leur donnant adresse IP afin de retrouver adresse physique de celui qui avait mis vidéos #Magnotta,,10/16/2014,https://twitter.com/#!/MessierSRC/status/522782454365827072,video,,@MessierSRC,Paoliello a contacté fournisseurs donnant adresse IP retrouver adresse physique avait mis vidéos #Magnotta
Paoliello dit que les vidéos avaient été mises en ligne par Captain Fly Scratch. #Magnotta,,10/16/2014,https://twitter.com/#!/MessierSRC/status/522781772241969152,video,,@MessierSRC,Paoliello dit vidéos avaient été mises Fly #Magnotta
"Paoliello a utilisé moteurs de recherche spécialisés pour trouver «hébergeurs». Donnent nom du proprio, adresse du serveur, etc. #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522781485603229696,video,,@MessierSRC,Paoliello a utilisé moteurs recherche spécialisés trouver hébergeurs Donnent nom proprio adresse serveur #Magnotta
