tweet
"Fin de la journée au procès . Contre-interro du policier Miello sera entendu mardi matin."
"Police française a ensuite réalisé que Kirk Tramell () avait pris billet pour Berlin. Bandes vidéos confirment son départ -Miello"
"C'est à ce moment que Robert a admis aux policiers que  avait dormi chez lui dans la nuit du 28 au 29 mai -Miello"
"Le compte de  sur PlanetRomeo avait cependant été supprimé le 30 mai, dit Miello"
"Le cellulaire avait été à la poubelle le 31 mai, vers 10h, gare St-Lazare, dit Miello. Enquête alors recentrée sur PlanetRomeo"
"Police a alors appris que le cellulaire utilisé par  était maintenant utilisé par qqun qui l'avait trouvé dans une poubelle..."
"Miello dit que la police s'est intéressée à une personne qui avait contacts avec le no de tél. de"
"La perquisition au Soumman a eu lieu le 2 juin. On sait maintenant que  avait quitté Paris le 31 mai,en soirée."
"Miello livre le détail des objets de  retrouvés au Soumman par la police française."
"27 mai 2012,  n'a pas dormi au Novotel, malgré sa réservation, dit Miello. Possible qu'il a dormi au Soumman"
"Cette réservation avait été faite jusqu'au 4 juin, payée en argent comptant, au nom de Kirk Tramell, relate Miello"
"2 juin 2012, le gérant d'un hôtel a contacté commissariat pour dire qu'un type pouvant correspondre à  -Miello"
"Réservation de  au Novotel avait été faite le 26 mai 2012, en soirée, via , dit Miello"
"2 juin 2012, police française demande permission de surveiller la ligne téléphonique de , explique Miello."
"Sur ce, témoignage enregistré de Miello reprend. Il explique que le téléphone de  en France a été activé le 28 mai 2012."
"Juge rappelle aux jurés que la crédibilité du témoin Robert ne doit pas être influencée par des propos tenus par Miello"
"Procès  reprend avec suite du témoignage du policier français Julien Miello, enregistré le 26 juin dernier."
"Procès  a repris avec nouvelles discussions hors jury."
"Me Leclair a 2 objections à faire. Juge invite le jury à quitter et prendre la pause du pm en même temps. Discussions hors jury"
"L'opérateur lié au no de téléphone donné par Robert a dit qu'il était au nom de Kirk Tramell. Adresse était celle du Novotel"
"Robert nous a donné le no de téléphone utilisé par , dit Miello. Nous a dit l'avoir connu par site de rencontres"
"Miello explique que  utilisait trois cartes bancaires, avait retiré 1500€. Puis, Jean-Christophe Robert a contacté police"
"Avec cette info, on a retrouvé chauffeur de taxi, qui nous a amené au Novotel, où  avait réservé chambre avec son vrai nom -Miello"
"On a eu images de  au départ de Montréal. On a pu vérifier vidéos de Charles-de-Gaulle, explique Miello."
"Avec cette info, on a entrepris recherches dans des hôtels dans le secteur de Clichy, mais nos recherches ont été vaines -Miello"
"12 octobre 2010, Magnotta avait porté plainte pour vol et viol. Il disait vivre dans un hôtel Mercure, place de Clichy -Miello"
"31 mai 2012, les autorités canadiennes ont demandé notre aide via Interpol, explique Miello.  avait pris vol pour Paris."
"Miello travaille dans une brigade spécialisée dans les fugitifs. Leclair dit dans la vidéo qu'il s'oppose à son témoignage..."
"Le témoignage de Miello a été enregistré le 26 juin dernier. Le jury écoute cet enregistrement."
"Fin du témoignage de Casey. Pas de contre-interrogatoire. Prochain témoin est policier français, Julien Miello (?)"
"Casey était resp. de la sécurité à St. Georges. Le 5 juin 2012, il a été prévenu de la réception du colis, il a appelé la police"
"Fin du témoignage de Jones. Pas de contre-interro. Couronne appelle à la barre Robert Casey (?) consultant en sécurité."
"Une infirmière a déballé le colis. Jones décrit ""l'horreur"" de la découverte d'une partie de corps. Elle a prévenu la sécurité"
"""J'étais confuse"". Colis sentait mauvais, mais ça semblait un cadeau qui m'était destiné, dit Jones. L'a envoyé à l'infirmerie"
"Jones dit ne pas connaître . Elle décrit la réception du colis, le 5 juin 2012. Colis était à son nom, ce qui était inhabituel"
"Nouveau témoin est Louise Jones, secrétaire à l'école St. Georges. Elle a reçu un autre des colis envoyés par "
"Murton dit qu'il a appelé la police. Fin du témoignage. Pas de contre-interrogatoire"
"Le directeur de l'école False Creek, Bruce Murton, décrit à son tour la réception du colis contenant partie de corps"
"Fin du témoignage de Chan. Pas de contre-interro. Nouveau témoin est le directeur de l'école False Creek"
"Chan a demandé de l'aide à une autre personne, qui a découvert la partie de corps. Elles ont prévenu le directeur"
"Mem Chan explique qu'elle a reçu le colis envoyé à False Creek. Colis sentait mauvais. Elle l'a ouvert."
"Fin du témoignage de Chow. Pas de contre-interro. Nouveau témoin est une Mme Chan, qui travaille à l'école False Creek."
"Chow a elle-même fait voyage vers Montréal avec deux parties de corps. 2e partie avait été envoyée à l'école St. Georges."
"Chow décrit la note manuscrite que contenait le colis, explique que la partie de corps a été envoyée à Montréal, pour l'enquête"
"Chow décrit contenu du colis. La partie de corps qu'il contenait a été envoyée à la morgue municipale"
"Le colis était déjà ouvert, dans le bureau du directeur de l'école. Chow a appelé identité judiciaire pour photos"
"Chow explique que le 5 juin 2012, elle est allée à l'école primaire False Creek pour un colis suspect, contenant partie de corps"
"Nouveau témoin de la Couronne est Beatrice Chow (?), policière de Vancouver."
"Procès  reprend. Nous entendrons cet après-midi cinq témoins depuis Vancouver, par vidéoconférence."
"Fin du témoignage de Robert. De retour à 14h15"
"""n'a pas eu d'attitude agressive"" en ma présence, dit Robert. Et rien n'a été volé chez moi."
"m'est apparu fébrile à 2 moments, dit Robert. Un peu le soir, mais aussi le lendemain matin, à son départ."
"Robert peine à expliquer pourquoi il a invité  à venir chez lui. Nous étions des connaissances virtuelles, pas des amis, dit-il"
"Me Leclair suggère qu'il était prévu que  passe la nuit chez Robert. Témoin nie. Dit que c'était ""inattendu"""
"Robert ne se souvient pas s'il a demandé à  de se déshabiller. Il admet qu'il vivait en nudiste chez lui."
"Avez-vous dit à  de se déshabiller et de mettre son ligne dans la chambre à coucher? ""Pas dans la chambre à coucher"" -Robert"
"Me Leclair s'intéresse au site PlanetRomeo, à son fonctionnement, aux catégories de recherche qu'il offre, etc."
"Fin de l'interrogatoire principal. Robert maintenant contre-interrogé par l'avocat de ."
