tweet,date,link,events,selected,journalist
"Procès #Magnotta, jour 3: on commence avec la suite du contre-interro de la policière Simoneau par l'avocat de Magnotta, Luc Leclair.",10/1/2014,https://twitter.com/#!/MessierSRC/status/517306665784586240,procedure,,@MessierSRC
Les deux jeunes hommes,10/1/2014,https://twitter.com/#!/@IsabelleRicher/status/517341252904558592,,,@IsabelleRicher
"Lin Feng, 35 ans, a fait la connaissance de Lin Jun en Chine en 2009. Ont commencé à se fréquenter à Noël 2010 #Magnotta",10/1/2014,https://twitter.com/#!/@IsabelleRicher/status/517340533824684032,lin jun,,@IsabelleRicher
Le petit ami de Lin Jun commence à témoigner au procès #Magnotta,10/1/2014,https://twitter.com/#!/@IsabelleRicher/status/517339520816398336,lin jun,,@IsabelleRicher
Jr 3 procès #Magnotta : la défense dépose une série d'éléments de preuve dont on a déjà les photos. Exercice fastidieux. Sera-ce utile?,10/1/2014,https://twitter.com/#!/@IsabelleRicher/status/517321573083385856,preuve,,@IsabelleRicher
Me Leclair a complété son contre-interrogatoire du pathologiste Yann Dazé. Le jury quitte la salle d'audience. #Magnotta,10/10/2014,https://twitter.com/#!/MessierSRC/status/520596324350431232,arrestation,,@MessierSRC
Pause de la matinée. #Magnotta,10/10/2014,https://twitter.com/#!/MessierSRC/status/520588916463005696,procedure,,@MessierSRC
Me Leclair suggère qu'un seul coup de marteau a pu suffire pour blessures constatées. Dazé pas d'accord. #Magnotta,10/10/2014,https://twitter.com/#!/MessierSRC/status/520588706840072193,arrestation,,@MessierSRC
"Leclair suggère que ce que Dazé a dit hier sur marteau est inexact, i.e. qu'il a fallu plusieurs coups pour infliger blessures #Magnotta",10/10/2014,https://twitter.com/#!/MessierSRC/status/520587610843279360,Paris,,@MessierSRC
"Correction: théoriquement, une scie oscillante pourrait être utilisée pour couper os, mais pas des tissus mous, selon Dazé. #Magnotta",10/10/2014,https://twitter.com/#!/MessierSRC/status/520586115586465792,corps,,@MessierSRC
"Dazé réticent à utiliser la scie en cour, question de ne pas la contaminer. Me Leclair la fait fonctionner. #Magnotta",10/10/2014,https://twitter.com/#!/MessierSRC/status/520585682100957184,arme,,@MessierSRC
"Me Leclair veut voir photos de la 4e vertèbre cervicale. On n'y voit pas la ligne de démembrement. Mais elle existe, assure Dazé. #Magnotta",10/10/2014,https://twitter.com/#!/MessierSRC/status/520583854076477440,arrestation,,@MessierSRC
Me Leclair suggère que Dazé est incompétent. Témoin en désaccord évidemment. Il garde cependant son calme. #Magnotta,10/10/2014,https://twitter.com/#!/MessierSRC/status/520582580249583616,arrestation,,@MessierSRC
"«Je ne suis pas ici pour commenter une vidéo, je suis ici pour commenter une autopsie», dit Dazé. #Magnotta",10/10/2014,https://twitter.com/#!/MessierSRC/status/520582370970202112,Profil témoin,,@MessierSRC
Première raison pour ne pas voir la vidéo donnée par Dazé hier: ne pas «teinter» son expertise #Magnotta,10/10/2014,https://twitter.com/#!/MessierSRC/status/520582196214923264,juridique,,@MessierSRC
Me Leclair revient sur le fait que Dazé a dit ne pas avoir vu vidéo pcq il voit sufisamment de «choses dégueulasses» entre autres #Magnotta,10/10/2014,https://twitter.com/#!/MessierSRC/status/520581876193718273,arrestation,,@MessierSRC
Dazé est en désaccord avec la suggestion de Me Leclair selon laquelle il était de son devoir de regarder la vidéo macabre. #Magnotta,10/10/2014,https://twitter.com/#!/MessierSRC/status/520581201208569856,juridique,,@MessierSRC
"«Je n'ai pas d'opinion à ce sujet», ne cesse de répéter Dazé, au sujet de la modification à la scie. #Magnotta",10/10/2014,https://twitter.com/#!/MessierSRC/status/520580769165893632,juridique,,@MessierSRC
