"tweet","date","link"
"Il est «clair que M. #Magnotta fait usage de cannabis», mais pas d'autres drogues, a conclu Derome dans son rapport","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537334677863137281"
"Jury de retour. En contre-interro, Me Leclair demande au policier Derome de lire son rapport. Il s'exécute. #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537334428855697408"
"Fin de l'interrogatoire de Derome. Avocat de #Magnotta veut parler au juge en l'absence du jury, qui se retire sur ce.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537332786974441472"
"«New dimension» et «white rhino (?)» font aussi référence à des sortes de marijuana, précise Derome. #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537332531021246465"
"Derome explique que glow=cocaïne, herbe ou 420 = mari, pow=cocaïne #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537332176606359552"
"Derome est déclaré expert «en terminologie des drogues de rue». Il commence son témoignage. #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537331655779037184"
"Derome explique que les trafiquants utilisent des termes codés pour parler drogue par textos dans 99,9% des cas #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537331450442702848"
"Derome explique qu'on lui a demandé d'analyser les textos dont il a été question, pour déterminer termes reliés au trafic de stups #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537331173085970434"
"Nouveau témoin de la Couronne en contre-preuve est Francis Derome, enquêteur du SPVM spécialisé dans les stupéfiants #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537330767748407296"
"Couronne a terminé son interrogatoire. Pas de contre-interro. Tableau des textos a été déposé, mais aucun présenté de vive voix #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537330518334124032"
"Bourque dit qu'avec ces textos, la police s'intéressait à la consommation de drogues de #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537328423610630145"
"Bourque, appelé à la barre par la Couronne cette fois, a préparé un tableau de textos échangés par #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537328034869940225"
"Procès #Magnotta reprend. Retour à la barre des témoins de l'enquêteur Michel Bourque, dernier témoin de la défense.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537327695794036740"
"Fin du contre-interrogatoire du Dr Joel Paris. Pause du midi #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537300137480318976"
"Le Dr Paris admet que son diagnostic de trouble de la personnalité limite pour #Magnotta était «provisoire» dans les circonstances","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537298516235018241"
"Dr Paris interrogé sur un article qu'il a écrit sur les hésitations des psys à diagnostiquer troubles de personnalité limite #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537297541566824448"
"L'avocat de #Magnotta suggère que Paris a un biais en faveur des troubles de personnalité limite, parce que c'est son champ d'expertise.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537294734809907200"
"L'avocat de #Magnotta attaque crédibilité du Dr Paris. Laisse entendre que Paris aurait pu déceler schizophrénie. Témoin pas d'accord.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537294532493467650"
"Paris dit que le cas #Magnotta était difficile et compliqué parce qu'il manquait d'informations sur son passé, consommation de drogues, etc.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537292352935952386"
"Me Leclair présente au Dr Paris différents dossiers médicaux de #Magnotta. Le psychiatre n'a vu aucun d'eux.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537291942737244160"
"Paris admet que toutes les infos qu'il a eues dans ce dossier lui venaient de #Magnotta. N'avait aucune autre source","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537289090144931840"
"Paris admet qu'il n'était pas présent pour début de la consultation avec #Magnotta. Fut fait par une résidente, Dr Propst.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537288021511794689"
"Paris admet qu'il espérait ne pas avoir à témoigner dans ce dossier. Était contrarié du meurtre commis peu après sa consultation. #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537287578123513856"
"Procès #Magnotta reprend. Me Leclair interroge le Dr Paris sur une conversation qu'il a déjà eue avec lui.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537286522937298944"
"Dr Paris sera maintenant contre-interrogé par l'avocat de #Magnotta, Luc Leclair... Mais Me Leclair demande à ce que le jury se retire","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537285086438506497"
"Si #Magnotta avait souffert de shcizophrénie 17 avril 2012, vous l'auriez constaté? demande Couronne. Probable, mais pas certain, dit Paris","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537284588134215680"
"Procès #Magnotta reprend. Suite du témoignage du psychiatre Joel Paris, qui a vu l'accusé pendant une heure le 17 avril 2012.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537284008716304384"
"Pause de 20 minutes au procès #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537277359880404992"
"Il aurait fallu avoir ses dossiers médicaux pour être plus certain du diagnostic, dit Paris #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537277198995300352"
"Paris a référé #Magnotta à une clinique pour gens ayant troubles de personnalité limite. Mais il aurait fallu l'évaluer + longuement, dit-il","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537276888222543872"
"Le handicap de #Magnotta était mineur, selon Paris. Il avait un appartement, subvenait à ses besoins, etc.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537276402333396992"
"Paris dit avoir conclu que #Magnotta avait trouble de personnalité limite. Se caractérise par troubles d'humeur, relations difficles, etc.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537275405221494785"
"Lors de cette consultation en avril 2012, aucun indice que #Magnotta était schizophrène, dit le Dr Paris.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537274893814206464"
"En fait, #Magnotta avait déjà entendu des bruits, non des voix. Il avait déjà pris des antispsychotiques, dit Dr Paris.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537273267703513088"
"#Magnotta m'a dit avoir été hospitalisé, diagnostiqué schizophrène, avoir déjà entendu des voix. Causé selon lui par coke et marijuana","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537272566155853824"
"#Magnotta n'avait pas dit entendre des voix, dit Paris. Le Dr Watts a évoqué cette histoire la semaine dernière.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537272165100695552"
